In file: TimeRangeTest.java
Input operator: REACHABILITY
mutation-355: CSVExporter.exportRows
mutation-356: CSVExporter.exportRows
mutation-357: CSVExporter.exportRows
mutation-358: CSVExporter.exportRows
mutation-359: CSVExporter.exportRows
mutation-360: CSVExporter.exportRows
In file: Settings.java
Input operator: REACHABILITY
mutation-361: Settings.onCreate
mutation-362: Settings.onCreate
mutation-363: Settings.onCreate
mutation-364: Settings.onCreate
mutation-365: Settings.addBooleanPreference
mutation-366: Settings.updateFontPrefs
mutation-367: Settings.onListItemClick
mutation-368: Settings.onListItemClick
mutation-369: Settings.onListItemClick
mutation-370: Settings.onListItemClick
mutation-371: Settings.onListItemClick
mutation-372: Settings.onClick
mutation-373: Settings.onClick
mutation-374: Settings.onClick
mutation-375: Settings.onClick
mutation-376: Settings.onClick
mutation-377: Settings.onClick
mutation-378: Settings.<init>
mutation-379: Settings.<init>
mutation-380: Settings.onCreateDialog
mutation-381: 1.onClick
mutation-382: 1.onClick
In file: Report.java
Input operator: REACHABILITY
mutation-383: Report.Day
mutation-384: Report.fromCalEnum
mutation-385: Report.fromCalEnum
mutation-386: Report.fromCalEnum
mutation-387: Report.toString
mutation-388: Report.calEnum
mutation-389: Report.onCreate
mutation-390: Report.onStop
mutation-391: Report.onCreateOptionsMenu
mutation-392: Report.onMenuItemSelected
mutation-393: Report.onCreateDialog
mutation-394: Report.requestExport
mutation-395: Report.requestExport
mutation-396: 1.onClick
mutation-397: Report.requestExport
mutation-398: Report.export
mutation-399: Report.export
mutation-400: Report.export
mutation-401: Report.export
mutation-402: Report.doExport
mutation-403: Report.doExport
mutation-404: Report.doExport
mutation-405: Report.doExport
mutation-406: Report.onRequestPermissionsResult
mutation-407: Report.onRequestPermissionsResult
mutation-408: Report.getCurrentRange
mutation-409: Report.getCurrentRange
mutation-410: Report.getCurrentRange
mutation-411: Report.getCurrentRange
mutation-412: Report.getCurrentRange
mutation-413: Report.getCurrentRange
mutation-414: Report.getCurrentRange
mutation-415: Report.getCurrentRange
mutation-416: Report.getCurrentRange
mutation-417: Report.getCurrentRange
mutation-418: Report.getRangeName
mutation-419: Report.createTotals
mutation-420: Report.createTotals
mutation-421: Report.createTotals
mutation-422: Report.createTotals
mutation-423: Report.onResume
mutation-424: Report.onPause
mutation-425: Report.createHeader
mutation-426: Report.createHeader
mutation-427: Report.createHeader
mutation-428: Report.createHeader
mutation-429: Report.createReport
mutation-430: Report.createReport
mutation-431: Report.createReport
mutation-432: Report.createReport
mutation-433: Report.createReport
mutation-434: Report.weekStart
mutation-435: Report.weekEnd
mutation-436: Report.onClick
mutation-437: Report.fillInActivitiesAndRanges
mutation-438: Report.fillInActivitiesAndRanges
mutation-439: Report.fillInActivitiesAndRanges
mutation-440: Report.fillInActivitiesAndRanges
mutation-441: Report.fillInActivitiesAndRanges
mutation-442: Report.getDays
mutation-443: Report.getDays
mutation-444: Report.getDays
mutation-445: Report.getDays
mutation-446: Report.getDays
mutation-447: Report.getDays
mutation-448: Report.getDays
