Type,Impact,Category,File,Function,Count
Expression with no effect,Medium,Incorrect expression,/target/classes/resources/js/qpid/management/query/QueryWidget.js,_showModeSwitchWarningIfRequired,1
Explicit this expected,Medium,API usage errors,/target/classes/resources/js/qpid/management/controller.js,controller.init,1
Eq: Problems with implementation of equals(),Low,SpotBugs: Dodgy code,/src/main/java/org/apache/qpid/server/management/plugin/controller/v6_1/category/QueueController.java,,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/test/java/org/apache/qpid/server/management/plugin/GunzipOutputStreamTest.java,GunzipOutputStreamTest.testDecompressingWithEmbeddedFileName,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/main/java/org/apache/qpid/server/management/plugin/servlet/query/SimpleCharStream.java,SimpleCharStream.ReInit,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/main/java/org/apache/qpid/server/management/plugin/servlet/query/SimpleCharStream.java,SimpleCharStream.SimpleCharStream,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/main/java/org/apache/qpid/server/management/plugin/servlet/query/SimpleCharStream.java,SimpleCharStream.SimpleCharStream,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/test/java/org/apache/qpid/server/management/plugin/GunzipOutputStreamTest.java,GunzipOutputStreamTest.generateTestBytes,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/test/java/org/apache/qpid/server/management/plugin/portunification/TlsOrPlainConnectionFactoryTest.java,TlsOrPlainConnectionFactoryTest.testOnFillableForPlain,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/test/java/org/apache/qpid/server/management/plugin/GunzipOutputStreamTest.java,GunzipOutputStreamTest.testDecompressingMultipleMembers,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/test/java/org/apache/qpid/server/management/plugin/portunification/TlsOrPlainConnectionFactoryTest.java,Answer_instance_1.Answer_instance_1,1
Dm: Dubious method used,Low,SpotBugs: Internationalization,/src/main/java/org/apache/qpid/server/management/plugin/servlet/query/SimpleCharStream.java,SimpleCharStream.ReInit,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/servlet/rest/ApiDocsServlet.java,ApiDocsServlet.getTypeName,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/v6_1/category/BindingControllerTest.java,BindingControllerTest.getDefaultType,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/v6_1/category/BindingControllerTest.java,BindingControllerTest.getNextVersionCategory,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/v6_1/category/BindingControllerTest.java,BindingControllerTest.createOrUpdate,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementController.java,LatestManagementController.createOrUpdate,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerAdapterTest.java,LatestManagementControllerAdapterTest.formatConfiguredObject,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/controller/v6_1/category/BindingController.java,BindingController$LegacyBinding.delete,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/v6_1/category/ConsumerControllerTest.java,ConsumerControllerTest.getDefaultType,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/AbstractLegacyConfiguredObjectControllerTest.java,AbstractLegacyConfiguredObjectControllerTest.createOrUpdate,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/auth/OAuth2InteractiveAuthenticator.java,OAuth2InteractiveAuthenticator.getAuthenticationHandler,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/controller/AbstractLegacyConfiguredObjectController.java,AbstractLegacyConfiguredObjectController.createTypeControllers,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/auth/OAuth2InteractiveAuthenticator.java,OAuth2InteractiveAuthenticator.getLogoutHandler,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/controller/AbstractLegacyConfiguredObjectController.java,AbstractLegacyConfiguredObjectController.addRelationship,2
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/v7_0/category/ContainerControllerTest.java,ContainerControllerTest.convertNextVersionBrokerConfiguredObject,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/auth/AnonymousInteractiveAuthenticator.java,org.apache.qpid.server.management.plugin.HttpRequestInteractiveAuthenticator$AuthenticationHandler.handleAuthentication,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/servlet/rest/SaslServlet.java,SaslServlet.doGet,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/servlet/rest/SaslServlet.java,SaslServlet.doPost,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/HttpManagement.java,HttpManagement.createServer,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerAdapterTest.java,LatestManagementControllerAdapterTest.createOrUpdate,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementController.java,LatestManagementController.getTarget,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/v7_0/category/ContainerControllerTest.java,ContainerControllerTest.convertNextVersionVirtualHostConfiguredObject,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/session/LoginLogoutReporterTest.java,LoginLogoutReporterTest.testLoginLogged,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/GunzipOutputStreamTest.java,GunzipOutputStreamTest.testDecompressing,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/controller/GenericCategoryControllerTest.java,GenericCategoryControllerTest.createOrUpdate,1
Dereference null return value,Medium,Null pointer dereferences,/src/test/java/org/apache/qpid/server/management/plugin/session/LoginLogoutReporterTest.java,LoginLogoutReporterTest.testLogoutLogged,1
Dereference null return value,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/servlet/rest/RestServlet.java,RestServlet.sendResponse,1
Dereference after null check,Medium,Null pointer dereferences,/src/main/java/org/apache/qpid/server/management/plugin/controller/AbstractLegacyConfiguredObjectController.java,AbstractLegacyConfiguredObjectController.getRequestType,1
Cross-site scripting,High,High impact security,/src/main/java/org/apache/qpid/server/management/plugin/servlet/rest/QueryServlet.java,QueryServlet.performQuery,1
